user_id,raw_text,prompt_length
user_1,"Sample text of length 20.",20
user_1,"Sample text of length 19.",19
user_1,"Sample text of length 23.",23
user_1,"Sample text of length 18.",18
user_1,"Sample text of length 17.",17
user_1,"Sample text of length 22.",22
user_1,"Sample text of length 16.",16
user_1,"Sample text of length 21.",21
user_1,"Sample text of length 24.",24
user_1,"Sample text of length 15.",15
user_2,"Sample text of length 29.",29
user_2,"Sample text of length 33.",33
user_2,"Sample text of length 30.",30
user_2,"Sample text of length 27.",27
user_2,"Sample text of length 32.",32
user_2,"Sample text of length 31.",31
user_2,"Sample text of length 34.",34
user_2,"Sample text of length 28.",28
user_2,"Sample text of length 35.",35
user_2,"Sample text of length 26.",26
user_3,"Sample text of length 40.",40
user_3,"Sample text of length 38.",38
user_3,"Sample text of length 44.",44
user_3,"Sample text of length 41.",41
user_3,"Sample text of length 45.",45
user_3,"Sample text of length 43.",43
user_3,"Sample text of length 37.",37
user_3,"Sample text of length 46.",46
user_3,"Sample text of length 42.",42
user_3,"Sample text of length 39.",39
